measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2010,379313611.5573509,392091720.78282404,366688385.42214257
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2011,374113543.48028773,387563884.2117511,361546842.4518772
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2012,368454416.45066285,382607789.72168183,354875858.00128406
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2013,363320327.676371,377985058.9539404,348937744.0737673
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2014,358599058.0367569,373609473.96465003,342921326.9751047
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2015,354848957.8664176,370830823.8280171,338890040.8357101
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2016,352512368.8760072,368298999.67530173,336163443.8142267
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2017,351463757.33677524,367687769.92903584,335433149.2237268
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2018,351494042.102084,366775348.14803654,335458871.71570563
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2019,352559788.31082195,368564346.9634646,336629312.521037
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2020,353821626.23033106,370189695.36672306,337407388.50284666
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2021,354582935.75944453,372359098.42250687,337158303.79721457
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2022,355890886.8773464,375482508.05637485,337030663.44627327
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2023,358577889.0826929,378020344.3549272,337794591.51416117
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1990,102055242.22261746,106448953.80697373,98005319.99641576
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1991,102824086.79907028,106908576.04269211,99029644.38530159
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1992,103862124.11044233,108324570.11671063,99873220.83964865
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1993,105085146.74764155,109666770.24316755,100737963.55192132
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1994,106387232.8434492,111505939.67449763,101733197.70431967
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1995,107634731.44005927,113222155.41345397,102663304.16416354
